"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5112","Vacation request - approve-button","webkit","Tue Sep 08 05:30:13 UTC 2026","passed","Tue Sep 08 05:30:18 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","14111","Creating new task with free amount","webkit","Tue Sep 08 05:29:58 UTC 2026","passed","Tue Sep 08 05:30:12 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1432","Invalid data","chromium","Tue Sep 08 05:30:00 UTC 2026","passed","Tue Sep 08 05:30:02 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1762","Invalid data","firefox","Tue Sep 08 05:29:57 UTC 2026","passed","Tue Sep 08 05:29:59 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1881","Reset Password","webkit","Tue Sep 08 05:30:35 UTC 2026","passed","Tue Sep 08 05:30:37 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","5739","Creating new task with free amount","chromium","Tue Sep 08 05:29:34 UTC 2026","passed","Tue Sep 08 05:29:39 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3901","Vacation request - reject-button","chromium","Tue Sep 08 05:29:48 UTC 2026","passed","Tue Sep 08 05:29:52 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","10417","Creating new task with amount","webkit","Tue Sep 08 05:30:13 UTC 2026","failed","Tue Sep 08 05:30:23 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","10835","Moving tasks to next month free and paid type","chromium","Tue Sep 08 05:29:47 UTC 2026","failed","Tue Sep 08 05:29:58 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5855","Creating new task with free amount","firefox","Tue Sep 08 05:29:35 UTC 2026","passed","Tue Sep 08 05:29:40 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4167","Vacation request - approve-button","chromium","Tue Sep 08 05:29:40 UTC 2026","passed","Tue Sep 08 05:29:44 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4275","Vacation request - approve-button","firefox","Tue Sep 08 05:29:41 UTC 2026","passed","Tue Sep 08 05:29:46 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3319","Deleting all requests","webkit","Tue Sep 08 05:30:30 UTC 2026","passed","Tue Sep 08 05:30:33 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1741","Reset Password","chromium","Tue Sep 08 05:29:59 UTC 2026","passed","Tue Sep 08 05:30:00 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2315","Validation creating task","firefox","Tue Sep 08 05:29:46 UTC 2026","passed","Tue Sep 08 05:29:48 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3912","Sick Leave request - reject-button","chromium","Tue Sep 08 05:29:44 UTC 2026","passed","Tue Sep 08 05:29:48 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4568","Sick Leave request - reject-button","firefox","Tue Sep 08 05:29:46 UTC 2026","passed","Tue Sep 08 05:29:50 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4682","Creating new task with amount","chromium","Tue Sep 08 05:29:40 UTC 2026","passed","Tue Sep 08 05:29:44 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5971","Sick Leave request - approve-button","chromium","Tue Sep 08 05:29:34 UTC 2026","passed","Tue Sep 08 05:29:40 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5930","Moving tasks to next month free and paid type","firefox","Tue Sep 08 05:29:48 UTC 2026","passed","Tue Sep 08 05:29:54 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2290","Incorrect data validation (Missing Dates)","chromium","Tue Sep 08 05:29:52 UTC 2026","passed","Tue Sep 08 05:29:54 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5741","Sick Leave request - approve-button","firefox","Tue Sep 08 05:29:34 UTC 2026","passed","Tue Sep 08 05:29:40 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4246","Vacation request - reject-button","firefox","Tue Sep 08 05:29:50 UTC 2026","passed","Tue Sep 08 05:29:54 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1596","Reset Password","firefox","Tue Sep 08 05:29:55 UTC 2026","passed","Tue Sep 08 05:29:57 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4467","Sick Leave request - reject-button","webkit","Tue Sep 08 05:30:18 UTC 2026","passed","Tue Sep 08 05:30:22 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2058","Sign In","webkit","Tue Sep 08 05:30:33 UTC 2026","passed","Tue Sep 08 05:30:35 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2281","Deleting all requests","chromium","Tue Sep 08 05:29:54 UTC 2026","passed","Tue Sep 08 05:29:57 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1283","Invalid data","webkit","Tue Sep 08 05:30:37 UTC 2026","passed","Tue Sep 08 05:30:38 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2418","Incorrect data validation (Missing Dates)","firefox","Tue Sep 08 05:29:54 UTC 2026","passed","Tue Sep 08 05:29:57 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4716","Vacation request - reject-button","webkit","Tue Sep 08 05:30:22 UTC 2026","passed","Tue Sep 08 05:30:27 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","7869","Moving tasks to next month free and paid type","webkit","Tue Sep 08 05:30:28 UTC 2026","passed","Tue Sep 08 05:30:36 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3227","Validation creating task","webkit","Tue Sep 08 05:30:24 UTC 2026","passed","Tue Sep 08 05:30:28 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
