"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1171","Invalid data","firefox","Thu Jan 15 06:31:45 UTC 2026","passed","Thu Jan 15 06:31:46 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3673","Deleting all requests","firefox","Thu Jan 15 06:31:37 UTC 2026","passed","Thu Jan 15 06:31:41 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4196","Vacation request - approve-button","firefox","Thu Jan 15 06:31:22 UTC 2026","passed","Thu Jan 15 06:31:26 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4201","Sick Leave request - approve-button","chromium","Thu Jan 15 06:31:18 UTC 2026","passed","Thu Jan 15 06:31:22 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4449","Sick Leave request - reject-button","firefox","Thu Jan 15 06:31:26 UTC 2026","passed","Thu Jan 15 06:31:31 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6596","Creating new task with free amount","firefox","Thu Jan 15 06:31:15 UTC 2026","passed","Thu Jan 15 06:31:21 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3894","Vacation request - approve-button","chromium","Thu Jan 15 06:31:23 UTC 2026","passed","Thu Jan 15 06:31:27 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1167","Invalid data","chromium","Thu Jan 15 06:31:39 UTC 2026","passed","Thu Jan 15 06:31:40 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","10926","Sick Leave request - approve-button","webkit","Thu Jan 15 06:31:31 UTC 2026","passed","Thu Jan 15 06:31:42 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3433","Vacation request - reject-button","chromium","Thu Jan 15 06:31:31 UTC 2026","passed","Thu Jan 15 06:31:34 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2313","Reset Password","chromium","Thu Jan 15 06:31:36 UTC 2026","passed","Thu Jan 15 06:31:39 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3284","Deleting all requests","webkit","Thu Jan 15 06:32:00 UTC 2026","passed","Thu Jan 15 06:32:03 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1891","Incorrect data validation (Missing Dates)","chromium","Thu Jan 15 06:31:34 UTC 2026","passed","Thu Jan 15 06:31:36 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2604","Validation creating task","firefox","Thu Jan 15 06:31:26 UTC 2026","passed","Thu Jan 15 06:31:29 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1987","Deleting all requests","chromium","Thu Jan 15 06:31:36 UTC 2026","passed","Thu Jan 15 06:31:38 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2618","Sign In","firefox","Thu Jan 15 06:31:40 UTC 2026","passed","Thu Jan 15 06:31:43 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3833","Sick Leave request - reject-button","chromium","Thu Jan 15 06:31:27 UTC 2026","passed","Thu Jan 15 06:31:31 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4080","Sick Leave request - reject-button","webkit","Thu Jan 15 06:31:48 UTC 2026","passed","Thu Jan 15 06:31:52 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2771","Validation creating task","webkit","Thu Jan 15 06:31:49 UTC 2026","passed","Thu Jan 15 06:31:52 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
