"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9704","Creating new task with free amount","webkit","Sat Dec 13 06:27:58 UTC 2025","passed","Sat Dec 13 06:28:08 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4990","Creating new task with amount","firefox","Sat Dec 13 06:27:55 UTC 2025","passed","Sat Dec 13 06:28:00 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5919","Creating new task with amount","webkit","Sat Dec 13 06:28:09 UTC 2025","passed","Sat Dec 13 06:28:15 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4927","Sick Leave request - approve-button","chromium","Sat Dec 13 06:27:42 UTC 2025","passed","Sat Dec 13 06:27:47 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2817","Deleting all requests","webkit","Sat Dec 13 06:28:51 UTC 2025","passed","Sat Dec 13 06:28:54 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3467","Deleting all requests","firefox","Sat Dec 13 06:28:11 UTC 2025","passed","Sat Dec 13 06:28:15 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2547","Validation creating task","webkit","Sat Dec 13 06:28:15 UTC 2025","passed","Sat Dec 13 06:28:17 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","9738","Creating new task with free amount","chromium","Sat Dec 13 06:27:42 UTC 2025","failed","Sat Dec 13 06:27:52 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4218","Vacation request - reject-button","webkit","Sat Dec 13 06:28:45 UTC 2025","passed","Sat Dec 13 06:28:49 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3469","Sick Leave request - reject-button","chromium","Sat Dec 13 06:27:51 UTC 2025","passed","Sat Dec 13 06:27:55 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5650","Moving tasks to next month free and paid type","webkit","Sat Dec 13 06:28:17 UTC 2025","passed","Sat Dec 13 06:28:23 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","6215","Sick Leave request - approve-button","firefox","Sat Dec 13 06:27:47 UTC 2025","passed","Sat Dec 13 06:27:54 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1393","Invalid data","firefox","Sat Dec 13 06:28:13 UTC 2025","passed","Sat Dec 13 06:28:15 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4636","Vacation request - approve-button","firefox","Sat Dec 13 06:27:54 UTC 2025","passed","Sat Dec 13 06:27:59 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1924","Reset Password","firefox","Sat Dec 13 06:28:11 UTC 2025","passed","Sat Dec 13 06:28:13 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2191","Sign In","chromium","Sat Dec 13 06:28:03 UTC 2025","passed","Sat Dec 13 06:28:05 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","10205","Sick Leave request - approve-button","webkit","Sat Dec 13 06:27:58 UTC 2025","passed","Sat Dec 13 06:28:09 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
