"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1465","Invalid data","firefox","Wed Apr 22 07:43:52 UTC 2026","passed","Wed Apr 22 07:43:54 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","5930","Creating new task with free amount","chromium","Wed Apr 22 07:43:28 UTC 2026","passed","Wed Apr 22 07:43:34 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","10231","Vacation request - reject-button","chromium","Wed Apr 22 07:43:42 UTC 2026","passed","Wed Apr 22 07:43:52 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4495","Vacation request - reject-button","webkit","Wed Apr 22 07:44:09 UTC 2026","passed","Wed Apr 22 07:44:14 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4401","Sick Leave request - reject-button","webkit","Wed Apr 22 07:44:05 UTC 2026","passed","Wed Apr 22 07:44:09 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2023","Sign In","webkit","Wed Apr 22 07:44:19 UTC 2026","passed","Wed Apr 22 07:44:21 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1630","Reset Password","firefox","Wed Apr 22 07:43:50 UTC 2026","passed","Wed Apr 22 07:43:52 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4062","Vacation request - approve-button","webkit","Wed Apr 22 07:44:01 UTC 2026","passed","Wed Apr 22 07:44:05 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5881","Moving tasks to next month free and paid type","webkit","Wed Apr 22 07:44:24 UTC 2026","passed","Wed Apr 22 07:44:30 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4736","Vacation request - reject-button","firefox","Wed Apr 22 07:43:44 UTC 2026","passed","Wed Apr 22 07:43:48 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2461","Sign In","chromium","Wed Apr 22 07:43:52 UTC 2026","passed","Wed Apr 22 07:43:54 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1398","Invalid data","webkit","Wed Apr 22 07:44:23 UTC 2026","passed","Wed Apr 22 07:44:24 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2134","Validation creating task","chromium","Wed Apr 22 07:43:39 UTC 2026","passed","Wed Apr 22 07:43:41 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","14609","Sick Leave request - approve-button","webkit","Wed Apr 22 07:43:45 UTC 2026","passed","Wed Apr 22 07:44:00 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4513","Vacation request - approve-button","firefox","Wed Apr 22 07:43:35 UTC 2026","passed","Wed Apr 22 07:43:39 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","7289","Sick Leave request - approve-button","firefox","Wed Apr 22 07:43:26 UTC 2026","passed","Wed Apr 22 07:43:34 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4078","Vacation request - approve-button","chromium","Wed Apr 22 07:43:34 UTC 2026","passed","Wed Apr 22 07:43:38 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1718","Reset Password","chromium","Wed Apr 22 07:43:54 UTC 2026","passed","Wed Apr 22 07:43:56 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","5067","Creating new task with amount","firefox","Wed Apr 22 07:43:35 UTC 2026","passed","Wed Apr 22 07:43:40 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
