"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3411","Sick Leave request - reject-button","firefox","Mon Jun 22 06:23:14 UTC 2026","passed","Mon Jun 22 06:23:17 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1214","Invalid data","chromium","Mon Jun 22 06:23:57 UTC 2026","passed","Mon Jun 22 06:23:58 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3141","Deleting all requests","webkit","Mon Jun 22 06:23:42 UTC 2026","passed","Mon Jun 22 06:23:45 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3789","Sick Leave request - reject-button","webkit","Mon Jun 22 06:23:32 UTC 2026","passed","Mon Jun 22 06:23:36 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4749","Moving tasks to next month free and paid type","firefox","Mon Jun 22 06:23:17 UTC 2026","passed","Mon Jun 22 06:23:22 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2242","Deleting all requests","firefox","Mon Jun 22 06:23:23 UTC 2026","passed","Mon Jun 22 06:23:25 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4807","Creating new task with free amount","chromium","Mon Jun 22 06:23:35 UTC 2026","passed","Mon Jun 22 06:23:40 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1867","Incorrect data validation (Missing Dates)","firefox","Mon Jun 22 06:23:21 UTC 2026","passed","Mon Jun 22 06:23:23 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4015","Creating new task with amount","firefox","Mon Jun 22 06:23:11 UTC 2026","passed","Mon Jun 22 06:23:15 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3470","Vacation request - reject-button","firefox","Mon Jun 22 06:23:17 UTC 2026","passed","Mon Jun 22 06:23:21 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1558","Reset Password","webkit","Mon Jun 22 06:23:45 UTC 2026","passed","Mon Jun 22 06:23:46 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3893","Vacation request - approve-button","webkit","Mon Jun 22 06:23:28 UTC 2026","passed","Mon Jun 22 06:23:32 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1661","Sign In","chromium","Mon Jun 22 06:23:54 UTC 2026","passed","Mon Jun 22 06:23:55 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1963","Sign In","webkit","Mon Jun 22 06:23:43 UTC 2026","passed","Mon Jun 22 06:23:45 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1085","Invalid data","firefox","Mon Jun 22 06:23:25 UTC 2026","passed","Mon Jun 22 06:23:26 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1547","Reset Password","firefox","Mon Jun 22 06:23:23 UTC 2026","passed","Mon Jun 22 06:23:25 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3754","Vacation request - reject-button","webkit","Mon Jun 22 06:23:36 UTC 2026","passed","Mon Jun 22 06:23:39 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2196","Incorrect data validation (Missing Dates)","chromium","Mon Jun 22 06:23:53 UTC 2026","passed","Mon Jun 22 06:23:55 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2147","Deleting all requests","chromium","Mon Jun 22 06:23:55 UTC 2026","passed","Mon Jun 22 06:23:58 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6381","Moving tasks to next month free and paid type","webkit","Mon Jun 22 06:23:36 UTC 2026","passed","Mon Jun 22 06:23:43 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4596","Moving tasks to next month free and paid type","chromium","Mon Jun 22 06:23:49 UTC 2026","passed","Mon Jun 22 06:23:54 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3190","Creating new task with amount","chromium","Mon Jun 22 06:23:44 UTC 2026","passed","Mon Jun 22 06:23:47 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1056","Invalid data","webkit","Mon Jun 22 06:23:46 UTC 2026","passed","Mon Jun 22 06:23:47 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1831","Reset Password","chromium","Mon Jun 22 06:23:55 UTC 2026","passed","Mon Jun 22 06:23:57 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3406","Vacation request - approve-button","firefox","Mon Jun 22 06:23:11 UTC 2026","passed","Mon Jun 22 06:23:14 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","16514","Creating new task with free amount","webkit","Mon Jun 22 06:23:11 UTC 2026","passed","Mon Jun 22 06:23:27 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
