"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3660","Vacation request - reject-button","chromium","Mon Jun 08 05:24:33 UTC 2026","passed","Mon Jun 08 05:24:36 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1469","Reset Password","webkit","Mon Jun 08 05:25:06 UTC 2026","passed","Mon Jun 08 05:25:07 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1848","Incorrect data validation (Missing Dates)","firefox","Mon Jun 08 05:24:30 UTC 2026","passed","Mon Jun 08 05:24:32 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6477","Sick Leave request - approve-button","firefox","Mon Jun 08 05:24:12 UTC 2026","passed","Mon Jun 08 05:24:19 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5191","Moving tasks to next month free and paid type","firefox","Mon Jun 08 05:24:26 UTC 2026","passed","Mon Jun 08 05:24:31 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1990","Validation creating task","firefox","Mon Jun 08 05:24:24 UTC 2026","passed","Mon Jun 08 05:24:26 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4979","Moving tasks to next month free and paid type","chromium","Mon Jun 08 05:24:32 UTC 2026","passed","Mon Jun 08 05:24:37 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3762","Vacation request - reject-button","webkit","Mon Jun 08 05:24:56 UTC 2026","passed","Mon Jun 08 05:25:00 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5330","Creating new task with amount","webkit","Mon Jun 08 05:24:49 UTC 2026","passed","Mon Jun 08 05:24:55 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2003","Deleting all requests","chromium","Mon Jun 08 05:24:38 UTC 2026","passed","Mon Jun 08 05:24:40 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4336","Creating new task with amount","firefox","Mon Jun 08 05:24:20 UTC 2026","passed","Mon Jun 08 05:24:24 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","6216","Creating new task with free amount","firefox","Mon Jun 08 05:24:12 UTC 2026","passed","Mon Jun 08 05:24:19 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1441","Sign In","firefox","Mon Jun 08 05:24:31 UTC 2026","passed","Mon Jun 08 05:24:33 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1055","Invalid data","webkit","Mon Jun 08 05:25:07 UTC 2026","passed","Mon Jun 08 05:25:08 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4492","Sick Leave request - approve-button","chromium","Mon Jun 08 05:24:20 UTC 2026","passed","Mon Jun 08 05:24:24 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1846","Incorrect data validation (Missing Dates)","chromium","Mon Jun 08 05:24:36 UTC 2026","passed","Mon Jun 08 05:24:38 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","15092","Creating new task with free amount","webkit","Mon Jun 08 05:24:34 UTC 2026","passed","Mon Jun 08 05:24:49 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4153","Creating new task with free amount","chromium","Mon Jun 08 05:24:20 UTC 2026","passed","Mon Jun 08 05:24:24 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3663","Vacation request - approve-button","firefox","Mon Jun 08 05:24:19 UTC 2026","passed","Mon Jun 08 05:24:23 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1074","Invalid data","firefox","Mon Jun 08 05:24:35 UTC 2026","passed","Mon Jun 08 05:24:36 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4403","Sick Leave request - reject-button","webkit","Mon Jun 08 05:24:52 UTC 2026","passed","Mon Jun 08 05:24:56 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2786","Validation creating task","webkit","Mon Jun 08 05:24:55 UTC 2026","passed","Mon Jun 08 05:24:58 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2746","Validation creating task","chromium","Mon Jun 08 05:24:29 UTC 2026","passed","Mon Jun 08 05:24:32 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3673","Vacation request - approve-button","chromium","Mon Jun 08 05:24:25 UTC 2026","passed","Mon Jun 08 05:24:29 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2557","Deleting all requests","webkit","Mon Jun 08 05:25:02 UTC 2026","passed","Mon Jun 08 05:25:05 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1172","Invalid data","chromium","Mon Jun 08 05:24:40 UTC 2026","passed","Mon Jun 08 05:24:41 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3796","Creating new task with amount","chromium","Mon Jun 08 05:24:25 UTC 2026","passed","Mon Jun 08 05:24:29 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2313","Incorrect data validation (Missing Dates)","webkit","Mon Jun 08 05:25:00 UTC 2026","passed","Mon Jun 08 05:25:02 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2878","Deleting all requests","firefox","Mon Jun 08 05:24:32 UTC 2026","passed","Mon Jun 08 05:24:35 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1783","Sign In","chromium","Mon Jun 08 05:24:37 UTC 2026","passed","Mon Jun 08 05:24:38 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1498","Sign In","webkit","Mon Jun 08 05:25:04 UTC 2026","passed","Mon Jun 08 05:25:06 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4404","Vacation request - approve-button","webkit","Mon Jun 08 05:24:47 UTC 2026","passed","Mon Jun 08 05:24:52 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","13017","Sick Leave request - approve-button","webkit","Mon Jun 08 05:24:34 UTC 2026","passed","Mon Jun 08 05:24:47 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1839","Reset Password","chromium","Mon Jun 08 05:24:38 UTC 2026","passed","Mon Jun 08 05:24:40 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3678","Sick Leave request - reject-button","chromium","Mon Jun 08 05:24:29 UTC 2026","passed","Mon Jun 08 05:24:33 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1944","Reset Password","firefox","Mon Jun 08 05:24:33 UTC 2026","passed","Mon Jun 08 05:24:35 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","6744","Moving tasks to next month free and paid type","webkit","Mon Jun 08 05:24:58 UTC 2026","passed","Mon Jun 08 05:25:04 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3516","Vacation request - reject-button","firefox","Mon Jun 08 05:24:27 UTC 2026","passed","Mon Jun 08 05:24:30 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3675","Sick Leave request - reject-button","firefox","Mon Jun 08 05:24:23 UTC 2026","passed","Mon Jun 08 05:24:27 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
