"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1696","Reset Password","webkit","Thu Dec 25 06:31:15 UTC 2025","passed","Thu Dec 25 06:31:17 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1587","Invalid data","webkit","Thu Dec 25 06:31:17 UTC 2025","passed","Thu Dec 25 06:31:18 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3833","Sick Leave request - reject-button","firefox","Thu Dec 25 06:30:36 UTC 2025","passed","Thu Dec 25 06:30:40 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4269","Deleting all requests","firefox","Thu Dec 25 06:30:47 UTC 2025","passed","Thu Dec 25 06:30:51 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1769","Sign In","firefox","Thu Dec 25 06:30:45 UTC 2025","passed","Thu Dec 25 06:30:47 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4045","Sick Leave request - reject-button","chromium","Thu Dec 25 06:30:39 UTC 2025","passed","Thu Dec 25 06:30:43 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6620","Creating new task with free amount","firefox","Thu Dec 25 06:30:25 UTC 2025","passed","Thu Dec 25 06:30:32 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1820","Deleting all requests","chromium","Thu Dec 25 06:30:49 UTC 2025","passed","Thu Dec 25 06:30:51 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5363","Moving tasks to next month free and paid type","chromium","Thu Dec 25 06:30:42 UTC 2025","passed","Thu Dec 25 06:30:48 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1184","Invalid data","chromium","Thu Dec 25 06:30:52 UTC 2025","passed","Thu Dec 25 06:30:53 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3856","Vacation request - approve-button","chromium","Thu Dec 25 06:30:35 UTC 2025","passed","Thu Dec 25 06:30:39 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5524","Moving tasks to next month free and paid type","webkit","Thu Dec 25 06:31:24 UTC 2025","passed","Thu Dec 25 06:31:29 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4256","Sick Leave request - reject-button","webkit","Thu Dec 25 06:31:00 UTC 2025","passed","Thu Dec 25 06:31:04 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2643","Validation creating task","chromium","Thu Dec 25 06:30:40 UTC 2025","passed","Thu Dec 25 06:30:42 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1807","Reset Password","chromium","Thu Dec 25 06:30:50 UTC 2025","passed","Thu Dec 25 06:30:52 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4143","Sick Leave request - approve-button","chromium","Thu Dec 25 06:30:30 UTC 2025","passed","Thu Dec 25 06:30:34 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4357","Vacation request - approve-button","webkit","Thu Dec 25 06:30:56 UTC 2025","passed","Thu Dec 25 06:31:00 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4392","Creating new task with amount","firefox","Thu Dec 25 06:30:33 UTC 2025","passed","Thu Dec 25 06:30:37 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1514","Sign In","webkit","Thu Dec 25 06:31:13 UTC 2025","passed","Thu Dec 25 06:31:15 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","5730","Moving tasks to next month free and paid type","firefox","Thu Dec 25 06:30:39 UTC 2025","passed","Thu Dec 25 06:30:45 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2151","Incorrect data validation (Missing Dates)","firefox","Thu Dec 25 06:30:44 UTC 2025","passed","Thu Dec 25 06:30:46 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5728","Sick Leave request - approve-button","firefox","Thu Dec 25 06:30:25 UTC 2025","passed","Thu Dec 25 06:30:31 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2228","Sign In","chromium","Thu Dec 25 06:30:48 UTC 2025","passed","Thu Dec 25 06:30:50 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3919","Vacation request - approve-button","firefox","Thu Dec 25 06:30:32 UTC 2025","passed","Thu Dec 25 06:30:36 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2426","Reset Password","firefox","Thu Dec 25 06:30:47 UTC 2025","passed","Thu Dec 25 06:30:49 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","30131","Creating new task with free amount","webkit","Thu Dec 25 06:30:45 UTC 2025","broken","Thu Dec 25 06:31:15 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4429","Vacation request - reject-button","firefox","Thu Dec 25 06:30:40 UTC 2025","passed","Thu Dec 25 06:30:44 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2626","Incorrect data validation (Missing Dates)","chromium","Thu Dec 25 06:30:47 UTC 2025","passed","Thu Dec 25 06:30:49 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
