"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5075","Deleting all requests","webkit","Wed Jul 29 03:59:29 UTC 2026","passed","Wed Jul 29 03:59:34 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6237","Creating new task with amount","webkit","Wed Jul 29 03:59:12 UTC 2026","passed","Wed Jul 29 03:59:18 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1569","Sign In","firefox","Wed Jul 29 03:59:06 UTC 2026","passed","Wed Jul 29 03:59:08 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","7818","Creating new task with free amount","firefox","Wed Jul 29 03:58:43 UTC 2026","passed","Wed Jul 29 03:58:51 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2486","Invalid data","webkit","Wed Jul 29 03:59:37 UTC 2026","passed","Wed Jul 29 03:59:39 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","6481","Creating new task with free amount","chromium","Wed Jul 29 03:58:44 UTC 2026","passed","Wed Jul 29 03:58:50 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4922","Sick Leave request - reject-button","firefox","Wed Jul 29 03:58:56 UTC 2026","passed","Wed Jul 29 03:59:01 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","12286","Sick Leave request - approve-button","webkit","Wed Jul 29 03:58:58 UTC 2026","passed","Wed Jul 29 03:59:10 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2123","Deleting all requests","firefox","Wed Jul 29 03:59:36 UTC 2026","passed","Wed Jul 29 03:59:38 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5644","Vacation request - reject-button","webkit","Wed Jul 29 03:59:21 UTC 2026","passed","Wed Jul 29 03:59:27 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2117","Sign In","chromium","Wed Jul 29 03:59:02 UTC 2026","passed","Wed Jul 29 03:59:04 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","5313","Moving tasks to next month free and paid type","chromium","Wed Jul 29 03:58:57 UTC 2026","passed","Wed Jul 29 03:59:02 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","7298","Sick Leave request - approve-button","firefox","Wed Jul 29 03:58:43 UTC 2026","passed","Wed Jul 29 03:58:51 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2904","Validation creating task","firefox","Wed Jul 29 03:58:57 UTC 2026","passed","Wed Jul 29 03:59:00 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
