"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1182","Invalid data","firefox","Fri May 29 05:08:17 UTC 2026","passed","Fri May 29 05:08:18 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","6211","Sick Leave request - approve-button","firefox","Fri May 29 05:07:52 UTC 2026","passed","Fri May 29 05:07:58 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4594","Creating new task with amount","firefox","Fri May 29 05:08:00 UTC 2026","passed","Fri May 29 05:08:04 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1734","Deleting all requests","chromium","Fri May 29 05:08:45 UTC 2026","passed","Fri May 29 05:08:47 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6251","Moving tasks to next month free and paid type","firefox","Fri May 29 05:08:07 UTC 2026","passed","Fri May 29 05:08:13 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3945","Sick Leave request - reject-button","firefox","Fri May 29 05:08:03 UTC 2026","passed","Fri May 29 05:08:07 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4003","Sick Leave request - approve-button","chromium","Fri May 29 05:07:59 UTC 2026","passed","Fri May 29 05:08:03 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","7550","Moving tasks to next month free and paid type","webkit","Fri May 29 05:08:55 UTC 2026","passed","Fri May 29 05:09:03 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1394","Sign In","chromium","Fri May 29 05:08:17 UTC 2026","passed","Fri May 29 05:08:18 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","7164","Creating new task with free amount","firefox","Fri May 29 05:07:52 UTC 2026","passed","Fri May 29 05:07:59 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1214","Invalid data","chromium","Fri May 29 05:08:20 UTC 2026","passed","Fri May 29 05:08:21 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2040","Sign In","webkit","Fri May 29 05:09:03 UTC 2026","passed","Fri May 29 05:09:05 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2726","Incorrect data validation (Missing Dates)","webkit","Fri May 29 05:09:00 UTC 2026","passed","Fri May 29 05:09:03 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3378","Deleting all requests","firefox","Fri May 29 05:08:13 UTC 2026","passed","Fri May 29 05:08:17 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2149","Sign In","firefox","Fri May 29 05:08:13 UTC 2026","passed","Fri May 29 05:08:15 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4029","Vacation request - approve-button","firefox","Fri May 29 05:07:59 UTC 2026","passed","Fri May 29 05:08:03 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","14455","Creating new task with free amount","webkit","Fri May 29 05:08:32 UTC 2026","passed","Fri May 29 05:08:46 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3376","Deleting all requests","webkit","Fri May 29 05:09:03 UTC 2026","passed","Fri May 29 05:09:06 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4064","Vacation request - reject-button","firefox","Fri May 29 05:08:07 UTC 2026","passed","Fri May 29 05:08:11 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1802","Incorrect data validation (Missing Dates)","chromium","Fri May 29 05:08:44 UTC 2026","passed","Fri May 29 05:08:45 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4191","Creating new task with free amount","chromium","Fri May 29 05:07:59 UTC 2026","passed","Fri May 29 05:08:03 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1240","Invalid data","webkit","Fri May 29 05:09:07 UTC 2026","passed","Fri May 29 05:09:08 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4578","Vacation request - approve-button","webkit","Fri May 29 05:08:46 UTC 2026","passed","Fri May 29 05:08:51 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5014","Moving tasks to next month free and paid type","chromium","Fri May 29 05:08:12 UTC 2026","passed","Fri May 29 05:08:17 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
