"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5041","Vacation request - approve-button","webkit","Thu Dec 11 17:37:29 UTC 2025","passed","Thu Dec 11 17:37:34 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2195","Validation creating task","chromium","Thu Dec 11 17:37:20 UTC 2025","passed","Thu Dec 11 17:37:22 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1904","Sign In","webkit","Thu Dec 11 17:37:46 UTC 2025","passed","Thu Dec 11 17:37:48 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2098","Incorrect data validation (Missing Dates)","chromium","Thu Dec 11 17:37:31 UTC 2025","passed","Thu Dec 11 17:37:33 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1300","Invalid data","webkit","Thu Dec 11 17:37:50 UTC 2025","passed","Thu Dec 11 17:37:52 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1781","Sign In","chromium","Thu Dec 11 17:37:28 UTC 2025","passed","Thu Dec 11 17:37:29 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","6079","Sick Leave request - approve-button","firefox","Thu Dec 11 17:36:56 UTC 2025","passed","Thu Dec 11 17:37:02 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","13243","Creating new task with free amount","webkit","Thu Dec 11 17:37:16 UTC 2025","passed","Thu Dec 11 17:37:30 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5719","Creating new task with amount","webkit","Thu Dec 11 17:37:31 UTC 2025","passed","Thu Dec 11 17:37:36 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","7043","Moving tasks to next month free and paid type","webkit","Thu Dec 11 17:37:39 UTC 2025","passed","Thu Dec 11 17:37:46 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3963","Vacation request - approve-button","chromium","Thu Dec 11 17:37:14 UTC 2025","passed","Thu Dec 11 17:37:18 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4684","Creating new task with amount","firefox","Thu Dec 11 17:37:04 UTC 2025","passed","Thu Dec 11 17:37:08 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1482","Invalid data","chromium","Thu Dec 11 17:37:31 UTC 2025","passed","Thu Dec 11 17:37:33 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2014","Deleting all requests","chromium","Thu Dec 11 17:37:33 UTC 2025","passed","Thu Dec 11 17:37:35 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1636","Invalid data","firefox","Thu Dec 11 17:37:21 UTC 2025","passed","Thu Dec 11 17:37:22 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","11910","Sick Leave request - approve-button","webkit","Thu Dec 11 17:37:16 UTC 2025","passed","Thu Dec 11 17:37:28 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1745","Reset Password","chromium","Thu Dec 11 17:37:29 UTC 2025","passed","Thu Dec 11 17:37:31 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2149","Incorrect data validation (Missing Dates)","firefox","Thu Dec 11 17:37:16 UTC 2025","passed","Thu Dec 11 17:37:19 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2026","Reset Password","webkit","Thu Dec 11 17:37:48 UTC 2025","passed","Thu Dec 11 17:37:50 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4541","Vacation request - approve-button","firefox","Thu Dec 11 17:37:03 UTC 2025","passed","Thu Dec 11 17:37:08 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4753","Creating new task with amount","chromium","Thu Dec 11 17:37:15 UTC 2025","passed","Thu Dec 11 17:37:19 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4749","Sick Leave request - reject-button","webkit","Thu Dec 11 17:37:34 UTC 2025","passed","Thu Dec 11 17:37:39 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1940","Reset Password","firefox","Thu Dec 11 17:37:19 UTC 2025","passed","Thu Dec 11 17:37:21 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","7013","Creating new task with free amount","firefox","Thu Dec 11 17:36:56 UTC 2025","passed","Thu Dec 11 17:37:03 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4298","Vacation request - reject-button","chromium","Thu Dec 11 17:37:27 UTC 2025","passed","Thu Dec 11 17:37:31 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5337","Creating new task with free amount","chromium","Thu Dec 11 17:37:08 UTC 2025","passed","Thu Dec 11 17:37:14 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1796","Sign In","firefox","Thu Dec 11 17:37:17 UTC 2025","passed","Thu Dec 11 17:37:19 UTC 2025","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3221","Deleting all requests","firefox","Thu Dec 11 17:37:19 UTC 2025","passed","Thu Dec 11 17:37:22 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5951","Moving tasks to next month free and paid type","firefox","Thu Dec 11 17:37:11 UTC 2025","passed","Thu Dec 11 17:37:17 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4153","Sick Leave request - reject-button","firefox","Thu Dec 11 17:37:08 UTC 2025","passed","Thu Dec 11 17:37:12 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4979","Vacation request - reject-button","webkit","Thu Dec 11 17:37:39 UTC 2025","passed","Thu Dec 11 17:37:44 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2792","Validation creating task","webkit","Thu Dec 11 17:37:37 UTC 2025","passed","Thu Dec 11 17:37:39 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","8454","Sick Leave request - reject-button","chromium","Thu Dec 11 17:37:18 UTC 2025","failed","Thu Dec 11 17:37:26 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2689","Incorrect data validation (Missing Dates)","webkit","Thu Dec 11 17:37:44 UTC 2025","passed","Thu Dec 11 17:37:47 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2306","Validation creating task","firefox","Thu Dec 11 17:37:09 UTC 2025","passed","Thu Dec 11 17:37:11 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4345","Vacation request - reject-button","firefox","Thu Dec 11 17:37:12 UTC 2025","passed","Thu Dec 11 17:37:16 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5858","Moving tasks to next month free and paid type","chromium","Thu Dec 11 17:37:22 UTC 2025","passed","Thu Dec 11 17:37:28 UTC 2025","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3582","Deleting all requests","webkit","Thu Dec 11 17:37:47 UTC 2025","passed","Thu Dec 11 17:37:51 UTC 2025","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
