"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3178","Deleting all requests","webkit","Fri Feb 13 06:58:46 UTC 2026","passed","Fri Feb 13 06:58:49 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1670","Sign In","webkit","Fri Feb 13 06:58:48 UTC 2026","passed","Fri Feb 13 06:58:49 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2290","Validation creating task","chromium","Fri Feb 13 06:58:13 UTC 2026","passed","Fri Feb 13 06:58:15 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1544","Reset Password","firefox","Fri Feb 13 06:58:03 UTC 2026","passed","Fri Feb 13 06:58:05 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4276","Creating new task with amount","firefox","Fri Feb 13 06:57:50 UTC 2026","passed","Fri Feb 13 06:57:54 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2686","Incorrect data validation (Missing Dates)","webkit","Fri Feb 13 06:58:43 UTC 2026","passed","Fri Feb 13 06:58:46 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","16527","Creating new task with free amount","webkit","Fri Feb 13 06:58:14 UTC 2026","passed","Fri Feb 13 06:58:31 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4044","Vacation request - approve-button","chromium","Fri Feb 13 06:58:08 UTC 2026","passed","Fri Feb 13 06:58:12 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2087","Sign In","chromium","Fri Feb 13 06:58:21 UTC 2026","passed","Fri Feb 13 06:58:23 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3813","Vacation request - reject-button","chromium","Fri Feb 13 06:58:16 UTC 2026","passed","Fri Feb 13 06:58:20 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6642","Creating new task with free amount","firefox","Fri Feb 13 06:57:43 UTC 2026","passed","Fri Feb 13 06:57:49 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2038","Validation creating task","firefox","Fri Feb 13 06:57:54 UTC 2026","passed","Fri Feb 13 06:57:56 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4486","Creating new task with amount","chromium","Fri Feb 13 06:58:08 UTC 2026","passed","Fri Feb 13 06:58:13 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","12908","Sick Leave request - approve-button","webkit","Fri Feb 13 06:58:14 UTC 2026","passed","Fri Feb 13 06:58:27 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2884","Deleting all requests","firefox","Fri Feb 13 06:58:03 UTC 2026","passed","Fri Feb 13 06:58:05 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5374","Moving tasks to next month free and paid type","firefox","Fri Feb 13 06:57:56 UTC 2026","passed","Fri Feb 13 06:58:02 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1756","Incorrect data validation (Missing Dates)","firefox","Fri Feb 13 06:58:01 UTC 2026","passed","Fri Feb 13 06:58:03 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3537","Vacation request - reject-button","firefox","Fri Feb 13 06:57:57 UTC 2026","passed","Fri Feb 13 06:58:01 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1382","Invalid data","chromium","Fri Feb 13 06:58:25 UTC 2026","passed","Fri Feb 13 06:58:27 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
