"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4980","Moving tasks to next month free and paid type","firefox","Wed May 13 08:43:00 UTC 2026","passed","Wed May 13 08:43:05 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3808","Vacation request - approve-button","firefox","Wed May 13 08:42:53 UTC 2026","passed","Wed May 13 08:42:57 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6636","Moving tasks to next month free and paid type","chromium","Wed May 13 08:42:08 UTC 2026","passed","Wed May 13 08:42:15 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4532","Vacation request - reject-button","chromium","Wed May 13 08:42:09 UTC 2026","passed","Wed May 13 08:42:14 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3742","Creating new task with amount","firefox","Wed May 13 08:42:54 UTC 2026","passed","Wed May 13 08:42:58 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4901","Sick Leave request - approve-button","firefox","Wed May 13 08:42:48 UTC 2026","passed","Wed May 13 08:42:52 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1894","Reset Password","chromium","Wed May 13 08:42:16 UTC 2026","passed","Wed May 13 08:42:18 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2304","Validation creating task","chromium","Wed May 13 08:42:06 UTC 2026","passed","Wed May 13 08:42:08 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2433","Incorrect data validation (Missing Dates)","webkit","Wed May 13 08:42:09 UTC 2026","passed","Wed May 13 08:42:11 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1811","Incorrect data validation (Missing Dates)","firefox","Wed May 13 08:43:04 UTC 2026","passed","Wed May 13 08:43:06 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4367","Vacation request - reject-button","webkit","Wed May 13 08:42:04 UTC 2026","passed","Wed May 13 08:42:09 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","12222","Creating new task with free amount","webkit","Wed May 13 08:41:33 UTC 2026","passed","Wed May 13 08:41:45 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3502","Vacation request - reject-button","firefox","Wed May 13 08:43:00 UTC 2026","passed","Wed May 13 08:43:04 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6675","Vacation request - approve-button","chromium","Wed May 13 08:41:58 UTC 2026","passed","Wed May 13 08:42:05 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2098","Deleting all requests","chromium","Wed May 13 08:42:16 UTC 2026","passed","Wed May 13 08:42:18 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","12273","Creating new task with amount","webkit","Wed May 13 08:41:46 UTC 2026","passed","Wed May 13 08:41:58 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","10902","Creating new task with free amount","chromium","Wed May 13 08:41:48 UTC 2026","passed","Wed May 13 08:41:59 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2031","Incorrect data validation (Missing Dates)","chromium","Wed May 13 08:42:14 UTC 2026","passed","Wed May 13 08:42:16 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1680","Sign In","chromium","Wed May 13 08:42:15 UTC 2026","passed","Wed May 13 08:42:16 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1882","Reset Password","webkit","Wed May 13 08:42:12 UTC 2026","passed","Wed May 13 08:42:14 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","7222","Moving tasks to next month free and paid type","webkit","Wed May 13 08:42:03 UTC 2026","passed","Wed May 13 08:42:10 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5410","Creating new task with free amount","firefox","Wed May 13 08:42:48 UTC 2026","passed","Wed May 13 08:42:53 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","8422","Sick Leave request - approve-button","chromium","Wed May 13 08:41:49 UTC 2026","passed","Wed May 13 08:41:57 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6092","Sick Leave request - reject-button","webkit","Wed May 13 08:41:58 UTC 2026","passed","Wed May 13 08:42:04 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1384","Invalid data","chromium","Wed May 13 08:42:18 UTC 2026","passed","Wed May 13 08:42:20 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2419","Deleting all requests","firefox","Wed May 13 08:43:06 UTC 2026","passed","Wed May 13 08:43:08 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","11620","Vacation request - approve-button","webkit","Wed May 13 08:41:47 UTC 2026","passed","Wed May 13 08:41:58 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4488","Sick Leave request - reject-button","chromium","Wed May 13 08:42:05 UTC 2026","passed","Wed May 13 08:42:09 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4502","Validation creating task","webkit","Wed May 13 08:41:58 UTC 2026","passed","Wed May 13 08:42:03 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","12923","Sick Leave request - approve-button","webkit","Wed May 13 08:41:33 UTC 2026","passed","Wed May 13 08:41:46 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1635","Reset Password","firefox","Wed May 13 08:43:06 UTC 2026","passed","Wed May 13 08:43:08 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
