"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1668","Sign In","firefox","Sun Apr 19 07:16:40 UTC 2026","passed","Sun Apr 19 07:16:42 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3959","Vacation request - approve-button","chromium","Sun Apr 19 07:16:33 UTC 2026","passed","Sun Apr 19 07:16:37 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2639","Deleting all requests","firefox","Sun Apr 19 07:16:42 UTC 2026","passed","Sun Apr 19 07:16:45 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1175","Invalid data","firefox","Sun Apr 19 07:16:44 UTC 2026","passed","Sun Apr 19 07:16:45 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2139","Validation creating task","firefox","Sun Apr 19 07:16:32 UTC 2026","passed","Sun Apr 19 07:16:34 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1852","Reset Password","chromium","Sun Apr 19 07:16:49 UTC 2026","passed","Sun Apr 19 07:16:51 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","5563","Creating new task with amount","webkit","Sun Apr 19 07:17:08 UTC 2026","passed","Sun Apr 19 07:17:13 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4099","Creating new task with amount","firefox","Sun Apr 19 07:16:28 UTC 2026","passed","Sun Apr 19 07:16:32 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4030","Sick Leave request - reject-button","chromium","Sun Apr 19 07:16:37 UTC 2026","passed","Sun Apr 19 07:16:41 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6014","Moving tasks to next month free and paid type","chromium","Sun Apr 19 07:16:41 UTC 2026","passed","Sun Apr 19 07:16:47 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
