"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3764","Sick Leave request - reject-button","chromium","Tue Feb 24 06:58:20 UTC 2026","passed","Tue Feb 24 06:58:24 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1366","Invalid data","webkit","Tue Feb 24 06:59:01 UTC 2026","passed","Tue Feb 24 06:59:02 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1826","Incorrect data validation (Missing Dates)","firefox","Tue Feb 24 06:58:13 UTC 2026","passed","Tue Feb 24 06:58:15 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2476","Incorrect data validation (Missing Dates)","webkit","Tue Feb 24 06:58:55 UTC 2026","passed","Tue Feb 24 06:58:58 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","14177","Sick Leave request - approve-button","webkit","Tue Feb 24 06:58:26 UTC 2026","passed","Tue Feb 24 06:58:40 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1622","Sign In","firefox","Tue Feb 24 06:58:14 UTC 2026","passed","Tue Feb 24 06:58:16 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3956","Vacation request - reject-button","chromium","Tue Feb 24 06:58:24 UTC 2026","passed","Tue Feb 24 06:58:28 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5054","Moving tasks to next month free and paid type","firefox","Tue Feb 24 06:58:09 UTC 2026","passed","Tue Feb 24 06:58:14 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5067","Creating new task with free amount","chromium","Tue Feb 24 06:58:10 UTC 2026","passed","Tue Feb 24 06:58:15 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3982","Creating new task with amount","firefox","Tue Feb 24 06:58:03 UTC 2026","passed","Tue Feb 24 06:58:07 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3957","Sick Leave request - reject-button","firefox","Tue Feb 24 06:58:06 UTC 2026","passed","Tue Feb 24 06:58:10 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4071","Vacation request - approve-button","firefox","Tue Feb 24 06:58:02 UTC 2026","passed","Tue Feb 24 06:58:06 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","5995","Creating new task with amount","webkit","Tue Feb 24 06:58:40 UTC 2026","passed","Tue Feb 24 06:58:46 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1965","Sign In","webkit","Tue Feb 24 06:58:57 UTC 2026","passed","Tue Feb 24 06:58:59 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1969","Deleting all requests","chromium","Tue Feb 24 06:58:30 UTC 2026","passed","Tue Feb 24 06:58:32 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1995","Incorrect data validation (Missing Dates)","chromium","Tue Feb 24 06:58:28 UTC 2026","passed","Tue Feb 24 06:58:30 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6158","Moving tasks to next month free and paid type","chromium","Tue Feb 24 06:58:23 UTC 2026","passed","Tue Feb 24 06:58:30 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2022","Reset Password","webkit","Tue Feb 24 06:58:59 UTC 2026","passed","Tue Feb 24 06:59:01 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4828","Sick Leave request - reject-button","webkit","Tue Feb 24 06:58:46 UTC 2026","passed","Tue Feb 24 06:58:51 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1312","Invalid data","chromium","Tue Feb 24 06:58:33 UTC 2026","passed","Tue Feb 24 06:58:34 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","13476","Creating new task with free amount","webkit","Tue Feb 24 06:58:26 UTC 2026","passed","Tue Feb 24 06:58:39 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3849","Vacation request - approve-button","chromium","Tue Feb 24 06:58:16 UTC 2026","passed","Tue Feb 24 06:58:20 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2933","Validation creating task","webkit","Tue Feb 24 06:58:46 UTC 2026","passed","Tue Feb 24 06:58:49 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","6644","Sick Leave request - approve-button","firefox","Tue Feb 24 06:57:55 UTC 2026","passed","Tue Feb 24 06:58:01 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1666","Reset Password","firefox","Tue Feb 24 06:58:16 UTC 2026","passed","Tue Feb 24 06:58:17 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
