"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5537","Sick Leave request - approve-button","chromium","Fri May 15 08:46:18 UTC 2026","passed","Fri May 15 08:46:24 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3676","Sick Leave request - reject-button","firefox","Fri May 15 08:46:25 UTC 2026","passed","Fri May 15 08:46:28 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2719","Validation creating task","webkit","Fri May 15 08:46:56 UTC 2026","passed","Fri May 15 08:46:58 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5226","Creating new task with free amount","chromium","Fri May 15 08:46:18 UTC 2026","passed","Fri May 15 08:46:24 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1732","Sign In","webkit","Fri May 15 08:47:05 UTC 2026","passed","Fri May 15 08:47:07 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4218","Vacation request - approve-button","webkit","Fri May 15 08:46:49 UTC 2026","passed","Fri May 15 08:46:53 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2634","Validation creating task","chromium","Fri May 15 08:46:30 UTC 2026","passed","Fri May 15 08:46:33 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3731","Vacation request - reject-button","firefox","Fri May 15 08:46:28 UTC 2026","passed","Fri May 15 08:46:32 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2752","Validation creating task","firefox","Fri May 15 08:46:25 UTC 2026","passed","Fri May 15 08:46:28 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1622","Sign In","chromium","Fri May 15 08:46:39 UTC 2026","passed","Fri May 15 08:46:40 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3885","Vacation request - reject-button","chromium","Fri May 15 08:46:35 UTC 2026","passed","Fri May 15 08:46:39 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4351","Vacation request - reject-button","webkit","Fri May 15 08:46:58 UTC 2026","passed","Fri May 15 08:47:03 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1760","Reset Password","chromium","Fri May 15 08:46:40 UTC 2026","passed","Fri May 15 08:46:42 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","6977","Moving tasks to next month free and paid type","webkit","Fri May 15 08:46:58 UTC 2026","passed","Fri May 15 08:47:05 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5022","Sick Leave request - reject-button","chromium","Fri May 15 08:46:30 UTC 2026","passed","Fri May 15 08:46:35 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
