"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4573","Vacation request - reject-button","webkit","Fri Jan 23 06:32:51 UTC 2026","passed","Fri Jan 23 06:32:56 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2737","Incorrect data validation (Missing Dates)","webkit","Fri Jan 23 06:32:56 UTC 2026","passed","Fri Jan 23 06:32:59 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1864","Reset Password","webkit","Fri Jan 23 06:33:00 UTC 2026","passed","Fri Jan 23 06:33:02 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1345","Invalid data","firefox","Fri Jan 23 06:32:38 UTC 2026","passed","Fri Jan 23 06:32:39 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4207","Sick Leave request - reject-button","webkit","Fri Jan 23 06:32:47 UTC 2026","passed","Fri Jan 23 06:32:51 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","12060","Sick Leave request - approve-button","webkit","Fri Jan 23 06:32:30 UTC 2026","passed","Fri Jan 23 06:32:42 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","6756","Moving tasks to next month free and paid type","webkit","Fri Jan 23 06:32:52 UTC 2026","passed","Fri Jan 23 06:32:59 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2046","Sign In","firefox","Fri Jan 23 06:32:33 UTC 2026","passed","Fri Jan 23 06:32:35 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4826","Creating new task with amount","firefox","Fri Jan 23 06:32:20 UTC 2026","passed","Fri Jan 23 06:32:25 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4760","Creating new task with free amount","chromium","Fri Jan 23 06:32:17 UTC 2026","passed","Fri Jan 23 06:32:21 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4139","Vacation request - approve-button","firefox","Fri Jan 23 06:32:19 UTC 2026","passed","Fri Jan 23 06:32:23 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2470","Deleting all requests","firefox","Fri Jan 23 06:32:35 UTC 2026","passed","Fri Jan 23 06:32:37 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","12490","Creating new task with free amount","webkit","Fri Jan 23 06:32:30 UTC 2026","passed","Fri Jan 23 06:32:42 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4846","Vacation request - reject-button","firefox","Fri Jan 23 06:32:27 UTC 2026","passed","Fri Jan 23 06:32:32 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2445","Incorrect data validation (Missing Dates)","firefox","Fri Jan 23 06:32:32 UTC 2026","passed","Fri Jan 23 06:32:35 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2606","Deleting all requests","chromium","Fri Jan 23 06:32:37 UTC 2026","passed","Fri Jan 23 06:32:39 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4265","Sick Leave request - reject-button","firefox","Fri Jan 23 06:32:23 UTC 2026","passed","Fri Jan 23 06:32:27 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2025","Reset Password","chromium","Fri Jan 23 06:32:37 UTC 2026","passed","Fri Jan 23 06:32:39 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1160","Invalid data","chromium","Fri Jan 23 06:32:39 UTC 2026","passed","Fri Jan 23 06:32:40 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","2920","Validation creating task","chromium","Fri Jan 23 06:32:28 UTC 2026","passed","Fri Jan 23 06:32:30 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3345","Deleting all requests","webkit","Fri Jan 23 06:32:59 UTC 2026","passed","Fri Jan 23 06:33:02 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1697","Sign In","chromium","Fri Jan 23 06:32:36 UTC 2026","passed","Fri Jan 23 06:32:37 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","5058","Moving tasks to next month free and paid type","chromium","Fri Jan 23 06:32:30 UTC 2026","passed","Fri Jan 23 06:32:36 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","7474","Creating new task with free amount","firefox","Fri Jan 23 06:32:12 UTC 2026","passed","Fri Jan 23 06:32:19 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","5341","Creating new task with amount","webkit","Fri Jan 23 06:32:43 UTC 2026","passed","Fri Jan 23 06:32:49 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1259","Invalid data","webkit","Fri Jan 23 06:33:02 UTC 2026","passed","Fri Jan 23 06:33:04 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","6089","Moving tasks to next month free and paid type","firefox","Fri Jan 23 06:32:27 UTC 2026","passed","Fri Jan 23 06:32:33 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4693","Sick Leave request - approve-button","chromium","Fri Jan 23 06:32:17 UTC 2026","passed","Fri Jan 23 06:32:21 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2541","Validation creating task","firefox","Fri Jan 23 06:32:25 UTC 2026","passed","Fri Jan 23 06:32:27 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4253","Vacation request - approve-button","webkit","Fri Jan 23 06:32:43 UTC 2026","passed","Fri Jan 23 06:32:47 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","3942","Creating new task with amount","chromium","Fri Jan 23 06:32:24 UTC 2026","passed","Fri Jan 23 06:32:28 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","3563","Vacation request - approve-button","chromium","Fri Jan 23 06:32:24 UTC 2026","passed","Fri Jan 23 06:32:27 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
